"cluster","protein","condition","area"
"1","MMAR_3260","WT",8443.33333333333
"1","MMAR_3260","Del",7420
"1","MMAR_3260","Comp",9606.66666666667
"2","MMAR_2821","WT",1436.5
"2","MMAR_2821","Del",1e-05
"2","MMAR_2821","Comp",1340.66666666667
"1","MMAR_0490","WT",1923.33333333333
"1","MMAR_0490","Del",1890
"1","MMAR_0490","Comp",2080
"2","MMAR_1185","WT",6580
"2","MMAR_1185","Del",1e-05
"2","MMAR_1185","Comp",6733.33333333333
"2","MMAR_2568","WT",1420
"2","MMAR_2568","Del",1e-05
"2","MMAR_2568","Comp",3170
"2","MMAR_5350","WT",400.333333333333
"2","MMAR_5350","Del",1e-05
"2","MMAR_5350","Comp",1048.66666666667
"2","MMAR_0638","WT",983.333333333333
"2","MMAR_0638","Del",1e-05
"2","MMAR_0638","Comp",1084.33333333333
"1","MMAR_1225","WT",2346.66666666667
"1","MMAR_1225","Del",1685
"1","MMAR_1225","Comp",2616.66666666667
"1","MMAR_5102","WT",10956.6666666667
"1","MMAR_5102","Del",8543.33333333333
"1","MMAR_5102","Comp",9873.33333333333
"2","MMAR_2469","WT",951.666666666667
"2","MMAR_2469","Del",1e-05
"2","MMAR_2469","Comp",2010
"2","MMAR_1047","WT",5096.66666666667
"2","MMAR_1047","Del",1e-05
"2","MMAR_1047","Comp",3635
"2","MMAR_1962","WT",832.5
"2","MMAR_1962","Del",1e-05
"2","MMAR_1962","Comp",1004.5
"2","MMAR_2527","WT",1456.66666666667
"2","MMAR_2527","Del",1e-05
"2","MMAR_2527","Comp",129
"1","MMAR_2088","WT",2577
"1","MMAR_2088","Del",1256.33333333333
"1","MMAR_2088","Comp",4320.33333333333
"1","MMAR_5155","WT",8516.66666666667
"1","MMAR_5155","Del",5616.66666666667
"1","MMAR_5155","Comp",15553.3333333333
"1","MMAR_4942","WT",5240
"1","MMAR_4942","Del",5123.33333333333
"1","MMAR_4942","Comp",6580
"1","MMAR_2677","WT",9343.33333333333
"1","MMAR_2677","Del",3810
"1","MMAR_2677","Comp",14253.3333333333
"2","MMAR_2289","WT",7503.33333333333
"2","MMAR_2289","Del",1e-05
"2","MMAR_2289","Comp",17686.6666666667
"2","MMAR_0879","WT",4856.66666666667
"2","MMAR_0879","Del",1e-05
"2","MMAR_0879","Comp",170.3
"2","MMAR_1973","WT",9740
"2","MMAR_1973","Del",1e-05
"2","MMAR_1973","Comp",12430
"2","MMAR_5450","WT",32590
"2","MMAR_5450","Del",1e-05
"2","MMAR_5450","Comp",2496.66666666667
"2","MMAR_0057","WT",5956.66666666667
"2","MMAR_0057","Del",1e-05
"2","MMAR_0057","Comp",6630
"2","MMAR_3645","WT",6536.66666666667
"2","MMAR_3645","Del",1e-05
"2","MMAR_3645","Comp",576.666666666667
"2","MMAR_1184","WT",574.5
"2","MMAR_1184","Del",1e-05
"2","MMAR_1184","Comp",1428
"2","MMAR_2089","WT",1193.33333333333
"2","MMAR_2089","Del",1e-05
"2","MMAR_2089","Comp",1622.33333333333
"1","MMAR_5225","WT",25790
"1","MMAR_5225","Del",16220
"1","MMAR_5225","Comp",25620
"2","MMAR_4871","WT",1970
"2","MMAR_4871","Del",1e-05
"2","MMAR_4871","Comp",1880
"1","MMAR_4990","WT",1550
"1","MMAR_4990","Del",1316.66666666667
"1","MMAR_4990","Comp",1520
"1","MMAR_2012","WT",12196.6666666667
"1","MMAR_2012","Del",5239.66666666667
"1","MMAR_2012","Comp",12636.6666666667
"1","MMAR_3028","WT",4030
"1","MMAR_3028","Del",2790
"1","MMAR_3028","Comp",9290
"1","MMAR_2254","WT",10990
"1","MMAR_2254","Del",7075
"1","MMAR_2254","Comp",19120
"1","MMAR_2620","WT",1910
"1","MMAR_2620","Del",885
"1","MMAR_2620","Comp",1613.33333333333
"1","MMAR_1762","WT",8663.33333333333
"1","MMAR_1762","Del",6480
"1","MMAR_1762","Comp",16086.6666666667
"1","MMAR_1295","WT",94200
"1","MMAR_1295","Del",66256.6666666667
"1","MMAR_1295","Comp",144683.333333333
"1","MMAR_1036","WT",5336.66666666667
"1","MMAR_1036","Del",3583.33333333333
"1","MMAR_1036","Comp",6913.33333333333
"2","MMAR_2267","WT",1130
"2","MMAR_2267","Del",1e-05
"2","MMAR_2267","Comp",3206.66666666667
"2","MMAR_4553","WT",647.333333333333
"2","MMAR_4553","Del",1e-05
"2","MMAR_4553","Comp",690.666666666667
"2","MMAR_5149","WT",1260
"2","MMAR_5149","Del",1e-05
"2","MMAR_5149","Comp",3680
"2","MMAR_4135","WT",19407.5
"2","MMAR_4135","Del",1e-05
"2","MMAR_4135","Comp",23106.7333333333
"1","MMAR_1704","WT",1900
"1","MMAR_1704","Del",1138.33333333333
"1","MMAR_1704","Comp",2310
"2","MMAR_2442","WT",597
"2","MMAR_2442","Del",1e-05
"2","MMAR_2442","Comp",1138.66666666667
